,central_pressure,radius,mass
0,1e-06,0.007861973784056519,1.3774614587786526e-10
1,1.0745142236928684e-06,0.008156527605993304,1.5381565655284817e-10
2,1.1545808169182898e-06,0.008461609452469003,1.7172893615180033e-10
3,1.240613510181634e-06,0.008777615648054758,1.9169649613937116e-10
4,1.333056862795703e-06,0.009104951541661875,2.1395249776161823e-10
5,1.4323885600653753e-06,0.00944404181383893,2.387580945595376e-10
6,1.5391218816451955e-06,0.009795324769930048,2.664040854113035e-10
7,1.653808353824694e-06,0.010159254417659365,2.97214391913462e-10
8,1.7770405994467217e-06,0.010536301059835069,3.315498295767041e-10
9,1.9094554001852072e-06,0.010926951902499862,3.698123079063923e-10
10,2.0517369870061637e-06,0.011331711688388557,4.1244950891593043e-10
11,2.2046205758148726e-06,0.011751103352993253,4.599600982083401e-10
12,2.368896166559047e-06,0.012185668701398642,5.128995290820714e-10
13,2.545412625419206e-06,0.012635969110692686,5.71886507409364e-10
14,2.735082071180344e-06,0.013102586255911847,6.376101922755672e-10
15,2.93888458845063e-06,0.01358612597530971,7.108387048388137e-10
16,3.1578732920819703e-06,0.01408720718248613,7.924262423794185e-10
17,3.3931797689619006e-06,0.014606479719875054,8.833255936718415e-10
18,3.6460199252964434e-06,0.015144614281495961,9.845976060673695e-10
19,3.917700269598645e-06,0.01570230590711531,1.0974239138145953e-09
20,4.20962466384913e-06,0.01628027488058026,1.2231206879887688e-09
21,4.523301577714199e-06,0.016879267661248316,1.363153951678454e-09
22,4.8603518833063e-06,0.017500057847888276,1.5191566382279178e-09
23,5.22251723076505e-06,0.018143447178247875,1.6929475912945516e-09
24,5.6116690479381365e-06,0.018810266564292397,1.8865527274722806e-09
25,6.029818210666545e-06,0.01950138162498425,2.102230050020904e-09
26,6.479125433643496e-06,0.020217676779513142,2.342490527317589e-09
27,6.96191243554016e-06,0.0209600808569644,2.610134920570952e-09
28,7.480673936092161e-06,0.021729552624017042,2.908281575629543e-09
29,8.038090547139543e-06,0.022527085796105448,3.240403838661669e-09
30,8.637042624232647e-06,0.02335371032187354,3.610370466505846e-09
31,9.280625150379557e-06,0.02421049370940164,4.022490635151475e-09
32,9.9721637288446e-06,0.025098542406969165,4.481564073257008e-09
33,1.0715231767637656e-05,0.026019003231813505,4.992936901509055e-09
34,1.1513668944492338e-05,0.026973064847605657,5.5625638263846104e-09
35,1.2371601047747872e-05,0.02796196651521675,6.1970822111029035e-09
36,1.329346129565868e-05,0.02898697213816085,6.903871344752692e-09
37,1.428401324429591e-05,0.030049411504839082,7.691163630041236e-09
38,1.534837540241327e-05,0.031150656628512734,8.568124392918662e-09
39,1.649204768047081e-05,0.03229212962854572,9.544962285326517e-09
40,1.77209398104869e-05,0.03347530456543023,1.0633048043649084e-08
41,1.9041401883573376e-05,0.034701709344489504,1.1845046765852389e-08
42,2.046025716295177e-05,0.03597292768615686,1.3195065242251654e-08
43,2.1984837342005566e-05,0.03729060117083944,1.4698816057791102e-08
44,2.3623020429559144e-05,0.0386564422939935,1.6373814269222903e-08
45,2.5383271458148512e-05,0.04007219486608727,1.8239529099446838e-08
46,2.7274686225637793e-05,0.04153969640530287,2.03176839631848e-08
47,2.930703829620782e-05,0.043060841961217775,2.2632462824215348e-08
48,3.149082950358691e-05,0.04463759584530847,2.5210802496460082e-08
49,3.383734421749117e-05,0.04627199416595828,2.8082705985946836e-08
50,3.635870765368589e-05,0.04796614745360135,3.1281591493586295e-08
51,3.906794852897632e-05,0.04972224338766603,3.484468115002769e-08
52,4.197906638488593e-05,0.051542549615056346,3.8813433982315015e-08
53,4.510710392790709e-05,0.053429434688947355,4.3234071892167966e-08
54,4.8468224760128726e-05,0.05538530218977415,4.815795333955131e-08
55,5.207979690190118e-05,0.05741269307226406,5.3642402622003485e-08
56,5.5960482538128595e-05,0.059514225289115444,5.975123046269809e-08
57,6.013033445193556e-05,0.0616926125074312,6.655551090497747e-08
58,6.461089964401421e-05,0.06395066761173493,7.413440803388596e-08
59,6.942533067308575e-05,0.06629130633075261,8.257609678684099e-08
60,7.459850529281142e-05,0.06871755099821399,9.197878856498443e-08
61,8.015715500335375e-05,0.0712325613637366,1.0245198969644093e-07
62,8.613000318185759e-05,0.07383953547755384,1.1411733879100136e-07
63,9.254791350561799e-05,0.07654186258741215,1.271106394804949e-07
64,9.944404943488383e-05,0.07934303197981175,1.415830499434419e-07
65,0.00010685404557939965,0.08224666052477575,1.5770293359535647e-07
66,0.00011481619183419098,0.08525649733972555,1.7565781733703785e-07
67,0.0001233716312360873,0.08837642862196753,1.9565657265582968e-07
68,0.0001325645725633672,0.09161051888903411,2.1793210352876783e-07
69,0.00014244251877710355,0.09496287700006598,2.4274308132259644e-07
70,0.00015305651248463624,0.09843786251518126,2.703783348104087e-07
71,0.0001644613996935669,0.10203996202313781,3.011593361447212e-07
72,0.00017671611321917575,0.10577382614906033,3.354441470710677e-07
73,0.00018988397720972366,0.10964427554780784,3.736315832388844e-07
74,0.00020403303436322074,0.11365630712240174,4.1616585246197636e-07
75,0.00021923639752649646,0.11781515093762734,4.63542316597493e-07
76,0.00023557262749340468,0.12212608238643954,5.163110004967127e-07
77,0.0002531261389543652,0.12659471066772002,5.750861903379557e-07
78,0.00027198763669492287,0.131226804504016,6.405515494564436e-07
79,0.0002922545842973033,0.13602834348809215,7.134685510509859e-07
80,0.0003140317077668988,0.14100552577875036,7.946853331161847e-07
81,0.0003374315366860953,0.14616477607751235,8.851465609231595e-07
82,0.0003625749856917513,0.15151282502080624,9.859058001220859e-07
83,0.0003895919792810254,0.15705644270375702,1.0981324992804333e-06
84,0.0004186221231741195,0.16280284693524005,1.2231331013113302e-06
85,0.00044981542570309935,0.16875945437849404,1.362361463000888e-06
86,0.0004833330729544434,0.1749339526758341,1.5174368955776373e-06
87,0.0005193482616707323,0.18133431023469487,1.6901629877995394e-06
88,0.0005580470942153681,0.1879687867153796,1.8825485828384466e-06
89,0.0005996295402248872,0.1948460451806164,2.0968344110885615e-06
90,0.000644310469918057,0.20197477166550346,2.335506743251424e-06
