,central_pressure,radius,mass
0,1e-09,1.0041612421598803e-06,6.808734614601234e-16
1,1.194064149822067e-09,1.0049729356123443e-06,6.808734636769224e-16
2,1.42578919389029e-09,1.0059438702709392e-06,6.808734663333225e-16
3,1.7024837616280994e-09,1.0071056889754052e-06,6.808734695187022e-16
4,2.032874825414323e-09,1.0084964950107906e-06,6.808734733415636e-16
5,2.4273829501030366e-09,1.0101622471274361e-06,6.808734779340365e-16
6,2.8984509586073515e-09,1.0121584843599108e-06,6.808734834576133e-16
7,3.4609363796904424e-09,1.014552479089102e-06,6.808734901105337e-16
8,4.132580055803314e-09,1.0174259389199344e-06,6.808734981373934e-16
9,4.934565690904414e-09,1.0208784278483366e-06,6.808735078418012e-16
10,5.89218798645092e-09,1.02503173886883e-06,6.808735196032796e-16
11,7.035650438633286e-09,1.0300355428635978e-06,6.808735339001719e-16
12,8.401017959451908e-09,1.0360747750357655e-06,6.808735513412016e-16
13,1.0031354367392818e-08,1.0433794253497825e-06,6.808735727097354e-16
14,1.197808062426476e-08,1.0522377142000402e-06,6.808735990271058e-16
15,1.4302596657112847e-08,1.063014127650352e-06,6.808736316451822e-16
16,1.7078217917623388e-08,1.0761745777949213e-06,6.808736723849925e-16
17,2.039248775828288e-08,1.0923222575553437e-06,6.808737237499568e-16
18,2.434993855785096e-08,1.1122499682903937e-06,6.808737892639275e-16
19,2.9075388682299814e-08,1.1370185880588912e-06,6.808738740258472e-16
20,3.4717879267676405e-08,1.1680784126166278e-06,6.808739856564447e-16
21,4.1455374991383114e-08,1.2074636135033609e-06,6.808741359902547e-16
22,4.9500377094640756e-08,1.2581171415939837e-06,6.808743442688985e-16
23,5.910662569138382e-08,1.3244612566892998e-06,6.808746435754972e-16
24,7.057710275503321e-08,1.4134618304133467e-06,6.808750948854149e-16
25,8.427358819809323e-08,1.536769319466114e-06,6.808758210194101e-16
26,1.0062807044421098e-07,1.7154651004220466e-06,6.808771002674296e-16
27,1.2015637138320184e-07,1.9920527910156675e-06,6.808796755507089e-16
28,1.4347441544138689e-07,2.466999634624806e-06,6.808860843335914e-16
29,1.7131765589523766e-07,3.448826738400374e-06,6.809095283626627e-16
30,2.0456427113605597e-07,6.571234643405028e-06,6.811283338593597e-16
31,2.44262862498045e-07,0.00016666545992521622,4.854063322942214e-15
32,2.91665527241832e-07,0.000564080121868156,1.624716677730411e-13
33,3.482673498184223e-07,0.0008195996516165599,4.969722371877976e-13
34,4.15853556971718e-07,0.0010461889267784628,1.032875942398501e-12
35,4.965558239559159e-07,0.0012647332012041927,1.8242749892565995e-12
36,5.929195077711168e-07,0.0014841566594217084,2.9476165666355896e-12
37,7.079839279596342e-07,0.0017096846533355206,4.505521842209487e-12
38,8.453782270268082e-07,0.0019450347318961765,6.633734472355478e-12
39,1.0094358339328479e-06,0.0021932305636016593,9.510763552687913e-12
40,1.2053311408449554e-06,0.0024569726634578594,1.3370711391936479e-11
41,1.4392427039470908e-06,0.0027388327031412974,1.8520124723209882e-11
42,1.7185481156761924e-06,0.0030413685906172266,2.5360058786286107e-11
43,2.052056694673204e-06,0.0033671976059856104,3.4414846049463656e-11
44,2.4502873325116353e-06,0.0037190530949217523,4.636976988026515e-11
45,2.9258002605152803e-06,0.004099825827144742,6.212013772870385e-11
46,3.493593200621353e-06,0.004512601156211729,8.283537655786572e-11
47,4.17157439492409e-06,0.00496069279168057,1.1004266934160671e-10
48,4.981127433294517e-06,0.005447676450481598,1.4573617949402706e-10
49,5.947785693792192e-06,0.005977418952570265,1.9251920523329492e-10
50,7.102037667781799e-06,0.006554116834001225,2.537903704469222e-10
51,8.480288569784169e-06,0.007182328726153739,3.339859222349444e-10
52,1.0126008561325107e-05,0.00786701362971463,4.3889620534639414e-10
53,1.209110380386961e-05,0.008613572820150813,5.760788765727768e-10
54,1.4437553583977899e-05,0.009427887574143453,7.553966078920792e-10
55,1.723936514576307e-05,0.010316373846707702,9.897214303175527e-10
56,2.0584907886247716e-05,0.011286028576364295,1.2958511906844326e-09
57,2.457970053435789e-05,0.012344486194089033,1.6957065791279608e-09
58,2.9349739221439e-05,0.01350008199123834,2.2178942652735593e-09
59,3.504547141094694e-05,0.014761907385357893,2.8997397997709567e-09
60,4.184654102542583e-05,0.01613989584401206,3.7899525673155365e-09
61,4.996745443251924e-05,0.017644892492112756,4.952091271632164e-09
62,5.966434599573884e-05,0.019288741507180938,6.469091246659909e-09
63,7.12430565760914e-05,0.021084385768139712,8.449178263751697e-09
64,8.506877978125582e-05,0.023045946297776888,1.103355008249203e-08
65,0.00010157758020590568,0.025188863637934957,1.4406463709478673e-08
66,0.00012129014694954734,0.027530000901659857,1.8808336166454623e-08
67,0.00014482821619910452,0.03008779077244354,2.4552891811625696e-08
68,0.00017293418084602993,0.032882345020131876,3.2049418408968496e-08
69,0.00020649450562708989,0.035935660553514735,4.183201406002327e-08
70,0.00024656768630453913,0.03927177497605684,5.459760035123186e-08
71,0.00029441763472082304,0.04291692102370491,7.125539252231714e-08
72,0.00035155354269554275,0.04689978864427202,9.29918410026466e-08
73,0.0004197774820756881,0.051251716437810575,1.2135497367956318e-07
74,0.0005012412422491535,0.05600696795262325,1.5836481528033907e-07
