e p
3.37737e-11 6.75228e-18
4.15941e-11 9.55718e-18
5.12252e-11 1.35247e-17
6.30864e-11 1.91345e-17
7.76941e-11 2.70823e-17
9.56843e-11 3.83203e-17
1.17840e-10 5.42123e-17
1.45126e-10 7.67174e-17
1.78730e-10 1.08553e-16
2.20115e-10 1.53603e-16
2.71083e-10 2.17340e-16
3.33852e-10 3.07540e-16
4.11156e-10 4.35163e-16
5.06360e-10 6.15753e-16
6.23608e-10 8.71285e-16
7.68005e-10 1.23286e-15
9.45837e-10 1.74448e-15
1.16485e-09 2.46843e-15
1.43457e-09 3.49281e-15
1.76674e-09 4.94229e-15
2.17584e-09 6.99330e-15
2.67966e-09 9.89545e-15
3.30013e-09 1.40020e-14
4.06429e-09 1.98126e-14
5.00538e-09 2.80347e-14
6.16438e-09 3.96687e-14
7.59176e-09 5.61308e-14
9.34966e-09 7.94244e-14
1.15146e-08 1.12385e-13
1.41808e-08 1.59023e-13
1.74645e-08 2.25015e-13
2.15084e-08 3.18394e-13
2.64888e-08 4.50522e-13
3.26224e-08 6.37482e-13
4.01764e-08 9.02027e-13
4.94795e-08 1.27635e-12
6.09368e-08 1.80602e-12
7.50473e-08 2.55548e-12
9.24252e-08 3.61595e-12
1.13827e-07 5.11648e-12
1.40186e-07 7.23969e-12
1.72648e-07 1.02440e-11
2.12627e-07 1.44949e-11
2.61865e-07 2.05097e-11
3.22506e-07 2.90205e-11
3.97190e-07 4.10628e-11
4.89171e-07 5.81019e-11
6.02454e-07 8.22111e-11
7.41976e-07 1.16324e-10
9.13813e-07 1.64590e-10
1.12545e-06 2.32883e-10
1.38611e-06 3.29509e-10
1.70716e-06 4.66222e-10
2.10258e-06 6.59653e-10
2.58962e-06 9.33325e-10
3.18950e-06 1.32052e-09
3.92840e-06 1.86832e-09
4.83854e-06 2.64332e-09
5.95963e-06 3.73973e-09
7.34062e-06 5.29081e-09
9.04180e-06 7.48501e-09
1.11375e-05 1.05889e-08
1.37193e-05 1.49794e-08
1.69001e-05 2.11896e-08
2.08192e-05 2.99731e-08
2.56481e-05 4.23955e-08
3.15986e-05 5.99629e-08
3.89318e-05 8.48042e-08
4.79698e-05 1.19928e-07
5.91103e-05 1.69584e-07
7.28439e-05 2.39778e-07
8.97769e-05 3.38988e-07
1.10658e-04 4.79185e-07
1.36413e-04 6.77266e-07
1.68185e-04 9.57068e-07
2.07392e-04 1.35221e-06
2.55786e-04 1.91007e-06
3.15538e-04 2.69741e-06
3.89342e-04 3.80822e-06
4.80541e-04 5.37474e-06
5.93288e-04 7.58288e-06
7.32747e-04 1.06938e-05
9.05352e-04 1.50739e-05
1.11913e-03 2.12368e-05
1.38409e-03 2.99015e-05
1.71278e-03 4.20733e-05
2.12091e-03 5.91554e-05
2.62823e-03 8.31032e-05
3.25957e-03 1.16637e-04
4.04628e-03 1.63533e-04
5.02796e-03 2.29023e-04
6.25484e-03 3.20339e-04
7.79073e-03 4.47451e-04
9.71691e-03 6.24074e-04
1.21372e-02 8.69023e-04
1.51846e-02 1.20804e-03
1.90297e-02 1.67623e-03
2.38924e-02 2.32140e-03
3.00559e-02 3.20837e-03
3.78868e-02 4.42491e-03
4.78602e-02 6.08947e-03
6.05926e-02 8.36157e-03
7.68865e-02 1.14555e-02
9.77872e-02 1.56587e-02
1.24659e-01 2.13557e-02
1.59286e-01 2.90601e-02
2.03999e-01 3.94571e-02
2.61857e-01 5.34592e-02
3.36865e-01 7.22803e-02
4.34283e-01 9.75338e-02
5.61016e-01 1.31361e-01
7.26140e-01 1.76605e-01
9.41589e-01 2.37032e-01
1.22306e+00 3.17633e-01
1.59122e+00 4.25019e-01
2.07327e+00 5.67940e-01
2.70504e+00 7.57976e-01
3.53374e+00 1.01044e+00
4.62158e+00 1.34559e+00
6.05056e+00 1.79021e+00
7.92878e+00 2.37969e+00
1.03988e+01 3.16082e+00
1.36486e+01 4.19543e+00
1.79260e+01 5.56520e+00
2.35583e+01 7.37804e+00
3.09768e+01 9.77650e+00
4.07507e+01 1.29489e+01
5.36311e+01 1.71438e+01
7.06092e+01 2.26898e+01
9.29925e+01 3.00205e+01
1.22507e+02 3.97087e+01
1.61430e+02 5.25106e+01
2.12768e+02 6.94248e+01
2.80488e+02 9.17698e+01
3.69825e+02 1.21287e+02
4.87690e+02 1.60274e+02
6.43206e+02 2.11766e+02
8.48411e+02 2.79769e+02
1.11920e+03 3.69573e+02
1.47654e+03 4.88162e+02
1.94814e+03 6.44755e+02
2.57052e+03 8.51522e+02
3.39195e+03 1.12453e+03
4.47611e+03 1.48500e+03
5.90705e+03 1.96092e+03
7.79575e+03 2.58928e+03
1.02887e+04 3.41887e+03
1.35792e+04 4.51411e+03
1.79226e+04 5.96007e+03
2.36558e+04 7.86902e+03
3.12236e+04 1.03892e+04
4.12131e+04 1.37162e+04
5.43994e+04 1.81085e+04
7.18057e+04 2.39069e+04
9.47827e+04 3.15616e+04
1.25113e+05 4.16669e+04
1.65151e+05 5.50072e+04
2.18003e+05 7.26181e+04
2.87770e+05 9.58665e+04
3.79867e+05 1.26557e+05
5.01441e+05 1.67072e+05
6.61928e+05 2.20556e+05
8.73781e+05 2.91161e+05
1.15344e+06 3.84367e+05
1.52262e+06 5.07408e+05
2.00996e+06 6.69835e+05
2.65328e+06 8.84254e+05
3.50252e+06 1.16731e+06
4.62359e+06 1.54097e+06
6.10348e+06 2.03423e+06
8.05707e+06 2.68539e+06
1.06360e+07 3.54498e+06
1.40403e+07 4.67971e+06
1.85344e+07 6.17767e+06
2.44669e+07 8.15511e+06
3.22983e+07 1.07655e+07
4.26365e+07 1.42115e+07
5.62838e+07 1.87605e+07
7.42993e+07 2.47655e+07
9.80815e+07 3.26928e+07
1.29476e+08 4.31574e+07
1.70919e+08 5.69717e+07
2.25628e+08 7.52078e+07
2.97849e+08 9.92811e+07
3.93186e+08 1.31060e+08
5.19040e+08 1.73011e+08
6.85178e+08 2.28390e+08
9.04495e+08 3.01495e+08
1.19401e+09 3.98001e+08
1.57620e+09 5.25396e+08
2.08072e+09 6.93570e+08
2.74674e+09 9.15574e+08
3.62594e+09 1.20864e+09
4.78656e+09 1.59551e+09
6.31868e+09 2.10622e+09
8.34121e+09 2.78039e+09
1.10111e+10 3.67037e+09
1.45357e+10 4.84521e+09
1.91884e+10 6.39610e+09
2.53303e+10 8.44342e+09
