e p
2.75919e-01 5.48236e-04
2.95797e-01 6.15384e-04
3.17109e-01 6.90751e-04
3.39959e-01 7.75341e-04
3.64458e-01 8.70283e-04
3.90726e-01 9.76841e-04
4.18890e-01 1.09644e-03
4.49088e-01 1.23066e-03
4.81467e-01 1.38131e-03
5.16186e-01 1.55037e-03
5.53413e-01 1.74011e-03
5.93331e-01 1.95305e-03
6.36135e-01 2.19202e-03
6.82035e-01 2.46019e-03
7.31254e-01 2.76114e-03
7.84035e-01 3.09885e-03
8.40637e-01 3.47782e-03
9.01336e-01 3.90308e-03
9.66432e-01 4.38026e-03
1.03624e+00 4.91570e-03
1.11111e+00 5.51649e-03
1.19141e+00 6.19060e-03
1.27754e+00 6.94695e-03
1.36991e+00 7.79554e-03
1.46899e+00 8.74761e-03
1.57526e+00 9.81574e-03
1.68926e+00 1.10140e-02
1.81154e+00 1.23583e-02
1.94271e+00 1.38663e-02
2.08343e+00 1.55580e-02
2.23440e+00 1.74555e-02
2.39636e+00 1.95838e-02
2.57013e+00 2.19710e-02
2.75657e+00 2.46485e-02
2.95662e+00 2.76513e-02
3.17129e+00 3.10188e-02
3.40163e+00 3.47953e-02
3.64883e+00 3.90301e-02
3.91412e+00 4.37785e-02
4.19885e+00 4.91027e-02
4.50445e+00 5.50720e-02
4.83247e+00 6.17644e-02
5.18458e+00 6.92667e-02
5.56258e+00 7.76767e-02
5.96840e+00 8.71034e-02
6.40410e+00 9.76690e-02
6.87194e+00 1.09510e-01
7.37430e+00 1.22780e-01
7.91380e+00 1.37650e-01
8.49321e+00 1.54311e-01
9.11554e+00 1.72979e-01
9.78403e+00 1.93891e-01
1.05022e+01 2.17316e-01
1.12737e+01 2.43555e-01
1.21027e+01 2.72941e-01
1.29936e+01 3.05849e-01
1.39510e+01 3.42697e-01
1.49800e+01 3.83953e-01
1.60862e+01 4.30138e-01
1.72754e+01 4.81835e-01
1.85540e+01 5.39695e-01
1.99289e+01 6.04445e-01
2.14076e+01 6.76895e-01
2.29981e+01 7.57952e-01
2.47091e+01 8.48623e-01
2.65500e+01 9.50035e-01
2.85310e+01 1.06345e+00
3.06630e+01 1.19025e+00
3.29579e+01 1.33201e+00
3.54286e+01 1.49047e+00
3.80889e+01 1.66757e+00
4.09539e+01 1.86545e+00
4.40400e+01 2.08652e+00
4.73647e+01 2.33346e+00
5.09472e+01 2.60923e+00
5.48082e+01 2.91716e+00
5.89701e+01 3.26091e+00
6.34573e+01 3.64459e+00
6.82963e+01 4.07274e+00
7.35157e+01 4.55042e+00
7.91465e+01 5.08323e+00
8.52226e+01 5.67742e+00
9.17807e+01 6.33992e+00
9.88605e+01 7.07840e+00
1.06505e+02 7.90138e+00
1.14762e+02 8.81834e+00
1.23682e+02 9.83974e+00
1.33321e+02 1.09772e+01
1.43739e+02 1.22437e+01
1.55002e+02 1.36533e+01
1.67181e+02 1.52220e+01
1.80355e+02 1.69672e+01
1.94609e+02 1.89083e+01
2.10034e+02 2.10668e+01
2.26732e+02 2.34662e+01
2.44812e+02 2.61330e+01
2.64394e+02 2.90959e+01
2.85609e+02 3.23871e+01
3.08597e+02 3.60419e+01
3.33516e+02 4.00995e+01
3.60532e+02 4.46030e+01
3.89833e+02 4.96001e+01
4.21617e+02 5.51435e+01
4.56107e+02 6.12910e+01
4.93541e+02 6.81069e+01
5.34183e+02 7.56618e+01
5.78318e+02 8.40336e+01
6.26259e+02 9.33081e+01
6.78348e+02 1.03580e+02
7.34959e+02 1.14954e+02
7.96500e+02 1.27544e+02
8.63418e+02 1.41478e+02
9.36199e+02 1.56894e+02
1.01538e+03 1.73947e+02
1.10154e+03 1.92806e+02
1.19532e+03 2.13655e+02
1.29742e+03 2.36702e+02
1.40860e+03 2.62169e+02
1.52969e+03 2.90307e+02
1.66162e+03 3.21387e+02
1.80538e+03 3.55710e+02
1.96207e+03 3.93606e+02
2.13288e+03 4.35438e+02
2.31914e+03 4.81604e+02
2.52227e+03 5.32544e+02
2.74385e+03 5.88740e+02
2.98559e+03 6.50723e+02
3.24940e+03 7.19074e+02
3.53734e+03 7.94436e+02
