e p
4.40152e-50 8.79982e-57
4.88460e-50 1.04725e-56
5.42070e-50 1.24553e-56
6.01563e-50 1.48151e-56
6.67586e-50 1.76259e-56
7.40856e-50 2.09640e-56
8.22166e-50 2.49368e-56
9.12401e-50 2.96636e-56
1.01254e-49 3.52947e-56
1.12367e-49 4.19757e-56
1.24699e-49 4.99404e-56
1.38385e-49 5.93988e-56
1.53574e-49 7.06515e-56
1.70429e-49 8.40517e-56
1.89134e-49 9.99811e-56
2.09892e-49 1.18926e-55
2.32928e-49 1.41470e-55
2.58492e-49 1.68280e-55
2.86862e-49 2.00182e-55
3.18346e-49 2.38115e-55
3.53286e-49 2.83245e-55
3.92060e-49 3.36937e-55
4.35089e-49 4.00798e-55
4.82841e-49 4.76765e-55
5.35834e-49 5.67121e-55
5.94644e-49 6.74613e-55
6.59907e-49 8.02473e-55
7.32334e-49 9.54571e-55
8.12709e-49 1.13549e-54
9.01906e-49 1.35072e-54
1.00089e-48 1.60671e-54
1.11074e-48 1.91123e-54
1.23265e-48 2.27348e-54
1.36794e-48 2.70438e-54
1.51807e-48 3.21696e-54
1.68469e-48 3.82668e-54
1.86958e-48 4.55196e-54
2.07478e-48 5.41471e-54
2.30249e-48 6.44097e-54
2.55519e-48 7.66176e-54
2.83563e-48 9.11393e-54
3.14685e-48 1.08413e-53
3.49223e-48 1.28961e-53
3.87551e-48 1.53404e-53
4.30086e-48 1.82479e-53
4.77289e-48 2.17065e-53
5.29673e-48 2.58206e-53
5.87806e-48 3.07144e-53
6.52320e-48 3.65358e-53
7.23914e-48 4.34606e-53
8.03366e-48 5.16978e-53
8.91538e-48 6.14962e-53
9.89387e-48 7.31518e-53
1.09798e-47 8.70165e-53
1.21848e-47 1.03509e-52
1.35222e-47 1.23127e-52
1.50063e-47 1.46464e-52
1.66532e-47 1.74224e-52
1.84810e-47 2.07245e-52
2.05094e-47 2.46524e-52
2.27604e-47 2.93248e-52
2.52584e-47 3.48829e-52
2.80306e-47 4.14943e-52
3.11071e-47 4.93587e-52
3.45212e-47 5.87138e-52
3.83101e-47 6.98419e-52
4.25148e-47 8.30791e-52
4.71810e-47 9.88252e-52
5.23593e-47 1.17556e-51
5.81061e-47 1.39836e-51
6.44835e-47 1.66339e-51
7.15609e-47 1.97866e-51
7.94152e-47 2.35367e-51
8.81315e-47 2.79976e-51
9.78044e-47 3.33040e-51
1.08539e-46 3.96160e-51
1.20452e-46 4.71244e-51
1.33673e-46 5.60558e-51
1.48344e-46 6.66799e-51
1.64626e-46 7.93175e-51
1.82695e-46 9.43503e-51
2.02747e-46 1.12232e-50
2.25001e-46 1.33503e-50
2.49697e-46 1.58805e-50
2.77104e-46 1.88903e-50
3.07519e-46 2.24704e-50
3.41272e-46 2.67291e-50
3.78731e-46 3.17948e-50
4.20301e-46 3.78206e-50
4.66435e-46 4.49884e-50
5.17633e-46 5.35146e-50
5.74451e-46 6.36566e-50
6.37506e-46 7.57206e-50
7.07483e-46 9.00708e-50
7.85141e-46 1.07141e-49
8.71326e-46 1.27445e-49
9.66971e-46 1.51597e-49
1.07312e-45 1.80327e-49
1.19092e-45 2.14500e-49
1.32165e-45 2.55149e-49
1.46673e-45 3.03501e-49
1.62775e-45 3.61016e-49
1.80644e-45 4.29428e-49
2.00475e-45 5.10804e-49
2.22484e-45 6.07599e-49
2.46909e-45 7.22734e-49
2.74017e-45 8.59684e-49
3.04101e-45 1.02258e-48
3.37489e-45 1.21634e-48
3.74544e-45 1.44682e-48
4.15668e-45 1.72095e-48
4.61310e-45 2.04702e-48
5.11964e-45 2.43486e-48
5.68182e-45 2.89618e-48
6.30577e-45 3.44488e-48
6.99825e-45 4.09751e-48
7.76682e-45 4.87376e-48
8.61983e-45 5.79704e-48
9.56657e-45 6.89518e-48
1.06173e-44 8.20129e-48
1.17836e-44 9.75475e-48
1.30781e-44 1.16024e-47
1.45148e-44 1.37999e-47
1.61095e-44 1.64134e-47
1.78795e-44 1.95217e-47
1.98442e-44 2.32185e-47
2.20249e-44 2.76151e-47
2.44455e-44 3.28438e-47
2.71324e-44 3.90621e-47
3.01149e-44 4.64571e-47
3.34256e-44 5.52514e-47
3.71008e-44 6.57095e-47
4.11805e-44 7.81459e-47
4.57096e-44 9.29346e-47
5.07374e-44 1.10520e-46
5.63192e-44 1.31431e-46
6.25161e-44 1.56295e-46
6.93961e-44 1.85858e-46
7.70347e-44 2.21009e-46
8.55159e-44 2.62801e-46
9.49330e-44 3.12488e-46
1.05389e-43 3.71558e-46
1.17001e-43 4.41782e-46
1.29895e-43 5.25261e-46
1.44214e-43 6.24493e-46
1.60116e-43 7.42444e-46
1.77778e-43 8.82639e-46
1.97396e-43 1.04926e-45
2.19186e-43 1.24729e-45
2.43391e-43 1.48261e-45
2.70281e-43 1.76225e-45
3.00156e-43 2.09451e-45
3.33349e-43 2.48927e-45
3.70233e-43 2.95826e-45
4.11221e-43 3.51537e-45
4.56774e-43 4.17710e-45
5.07406e-43 4.96302e-45
5.63688e-43 5.89633e-45
6.26260e-43 7.00456e-45
6.95831e-43 8.32033e-45
7.73195e-43 9.88230e-45
8.59237e-43 1.17363e-44
