e p
3.56535e+00 1.21124e-04
3.95667e+00 1.49141e-04
4.39095e+00 1.83639e-04
4.87289e+00 2.26118e-04
5.40773e+00 2.78425e-04
6.00127e+00 3.42834e-04
6.65997e+00 4.22147e-04
7.39097e+00 5.19810e-04
8.20221e+00 6.40072e-04
9.10250e+00 7.88160e-04
1.01016e+01 9.70517e-04
1.12104e+01 1.19507e-03
1.24409e+01 1.47159e-03
1.38065e+01 1.81209e-03
1.53221e+01 2.23140e-03
1.70040e+01 2.74774e-03
1.88705e+01 3.38358e-03
2.09420e+01 4.16657e-03
2.32410e+01 5.13077e-03
2.57923e+01 6.31811e-03
2.86239e+01 7.78027e-03
3.17664e+01 9.58083e-03
3.52540e+01 1.17981e-02
3.91246e+01 1.45286e-02
4.34204e+01 1.78911e-02
4.81881e+01 2.20319e-02
5.34796e+01 2.71311e-02
5.93524e+01 3.34106e-02
6.58705e+01 4.11436e-02
7.31050e+01 5.06665e-02
8.11346e+01 6.23938e-02
9.00469e+01 7.68356e-02
9.99392e+01 9.46205e-02
1.10919e+02 1.16522e-01
1.23107e+02 1.43494e-01
1.36636e+02 1.76709e-01
1.51654e+02 2.17613e-01
1.68324e+02 2.67986e-01
1.86831e+02 3.30020e-01
2.07376e+02 4.06414e-01
2.30186e+02 5.00493e-01
2.55510e+02 6.16352e-01
2.83628e+02 7.59032e-01
3.14850e+02 9.34742e-01
3.49519e+02 1.15113e+00
3.88020e+02 1.41761e+00
4.30779e+02 1.74579e+00
4.78271e+02 2.14994e+00
5.31024e+02 2.64765e+00
5.89628e+02 3.26059e+00
6.54738e+02 4.01544e+00
7.27086e+02 4.94504e+00
8.07488e+02 6.08986e+00
8.96853e+02 7.49972e+00
9.96198e+02 9.23599e+00
1.10666e+03 1.13742e+01
1.22950e+03 1.40075e+01
1.36615e+03 1.72505e+01
1.51819e+03 2.12442e+01
1.68740e+03 2.61627e+01
1.87578e+03 3.22198e+01
2.08558e+03 3.96793e+01
2.31931e+03 4.88659e+01
2.57981e+03 6.01794e+01
2.87028e+03 7.41123e+01
3.19433e+03 9.12710e+01
3.55603e+03 1.12403e+02
3.96001e+03 1.38427e+02
4.41149e+03 1.70476e+02
4.91642e+03 2.09946e+02
5.48158e+03 2.58554e+02
6.11469e+03 3.18417e+02
6.82458e+03 3.92140e+02
7.62135e+03 4.82932e+02
8.51664e+03 5.94745e+02
9.52380e+03 7.32448e+02
1.06583e+04 9.02033e+02
1.19379e+04 1.11088e+03
1.33834e+04 1.36809e+03
1.50189e+04 1.68485e+03
1.68725e+04 2.07495e+03
1.89770e+04 2.55537e+03
2.13710e+04 3.14703e+03
2.40998e+04 3.87569e+03
2.72169e+04 4.77305e+03
3.07854e+04 5.87819e+03
3.48801e+04 7.23921e+03
3.95900e+04 8.91536e+03
4.50210e+04 1.09796e+04
5.12994e+04 1.35218e+04
5.85766e+04 1.66526e+04
6.70338e+04 2.05084e+04
7.68888e+04 2.52569e+04
8.84037e+04 3.11049e+04
1.01895e+05 3.83070e+04
1.17744e+05 4.71766e+04
1.36412e+05 5.80999e+04
1.58460e+05 7.15525e+04
1.84567e+05 8.81199e+04
2.15556e+05 1.08523e+05
2.52432e+05 1.33651e+05
2.96415e+05 1.64597e+05
3.48995e+05 2.02708e+05
4.11988e+05 2.49644e+05
4.87610e+05 3.07448e+05
5.78573e+05 3.78636e+05
6.88190e+05 4.66306e+05
8.20516e+05 5.74277e+05
9.80515e+05 7.07248e+05
1.17427e+06 8.71007e+05
1.40924e+06 1.07268e+06
1.69455e+06 1.32106e+06
2.04144e+06 1.62694e+06
2.46365e+06 2.00366e+06
2.97808e+06 2.46759e+06
3.60548e+06 3.03895e+06
4.37133e+06 3.74261e+06
5.30694e+06 4.60920e+06
6.45078e+06 5.67644e+06
7.85014e+06 6.99080e+06
9.56318e+06 8.60950e+06
1.16614e+07 1.06030e+07
1.42327e+07 1.30581e+07
1.73852e+07 1.60817e+07
2.12520e+07 1.98053e+07
2.59967e+07 2.43912e+07
3.18207e+07 3.00389e+07
3.89718e+07 3.69943e+07
4.77548e+07 4.55603e+07
5.85452e+07 5.61097e+07
7.18047e+07 6.91017e+07
8.81019e+07 8.51021e+07
1.08137e+08 1.04807e+08
1.32770e+08 1.29075e+08
1.63063e+08 1.58962e+08
2.00321e+08 1.95770e+08
2.46151e+08 2.41100e+08
3.02532e+08 2.96926e+08
3.71901e+08 3.65679e+08
4.57257e+08 4.50351e+08
5.62294e+08 5.54630e+08
6.91560e+08 6.83054e+08
8.50655e+08 8.41214e+08
1.04647e+09 1.03600e+09
1.28751e+09 1.27588e+09
1.58422e+09 1.57131e+09
1.94947e+09 1.93514e+09
2.39913e+09 2.38322e+09
2.95271e+09 2.93506e+09
3.63426e+09 3.61467e+09
4.47339e+09 4.45164e+09
5.50655e+09 5.48241e+09
6.77866e+09 6.75186e+09
8.34500e+09 8.31525e+09
1.02737e+10 1.02406e+10
1.26485e+10 1.26119e+10
