e p
6.26521e+02 -1.01514e+02
6.10304e+02 -9.68411e+01
5.96769e+02 -9.22602e+01
5.85646e+02 -8.77491e+01
5.76708e+02 -8.32878e+01
5.69766e+02 -7.88579e+01
5.64657e+02 -7.44423e+01
5.61244e+02 -7.00252e+01
5.59413e+02 -6.55918e+01
5.59065e+02 -6.11281e+01
5.60118e+02 -5.66208e+01
5.62502e+02 -5.20571e+01
5.66159e+02 -4.74249e+01
5.71040e+02 -4.27120e+01
5.77106e+02 -3.79071e+01
5.84324e+02 -3.29986e+01
5.92670e+02 -2.79753e+01
6.02123e+02 -2.28261e+01
6.12671e+02 -1.75398e+01
6.24302e+02 -1.21055e+01
6.37014e+02 -6.51188e+00
6.50806e+02 -7.47853e-01
6.65680e+02 5.19793e+00
6.81644e+02 1.13369e+01
6.98707e+02 1.76808e+01
7.16882e+02 2.42414e+01
7.36186e+02 3.10307e+01
7.56636e+02 3.80613e+01
7.78255e+02 4.53456e+01
8.01066e+02 5.28967e+01
8.25096e+02 6.07280e+01
8.50373e+02 6.88530e+01
8.76929e+02 7.72858e+01
9.04798e+02 8.60410e+01
9.34015e+02 9.51335e+01
9.64619e+02 1.04579e+02
9.96652e+02 1.14393e+02
1.03015e+03 1.24592e+02
1.06517e+03 1.35193e+02
1.10176e+03 1.46213e+02
1.13996e+03 1.57672e+02
1.17982e+03 1.69587e+02
1.22141e+03 1.81978e+02
1.26479e+03 1.94866e+02
1.31000e+03 2.08270e+02
1.35712e+03 2.22213e+02
1.40621e+03 2.36718e+02
1.45734e+03 2.51806e+02
1.51059e+03 2.67504e+02
1.56602e+03 2.83834e+02
1.62372e+03 3.00824e+02
1.68376e+03 3.18500e+02
1.74624e+03 3.36889e+02
1.81124e+03 3.56022e+02
1.87885e+03 3.75927e+02
1.94916e+03 3.96635e+02
2.02229e+03 4.18180e+02
2.09832e+03 4.40594e+02
2.17737e+03 4.63911e+02
2.25955e+03 4.88169e+02
2.34497e+03 5.13404e+02
2.43375e+03 5.39655e+02
2.52602e+03 5.66961e+02
2.62191e+03 5.95366e+02
2.72155e+03 6.24912e+02
2.82508e+03 6.55643e+02
2.93264e+03 6.87607e+02
3.04440e+03 7.20852e+02
3.16050e+03 7.55427e+02
3.28110e+03 7.91386e+02
3.40637e+03 8.28781e+02
3.53649e+03 8.67670e+02
3.67164e+03 9.08110e+02
3.81201e+03 9.50161e+02
3.95779e+03 9.93886e+02
4.10919e+03 1.03935e+03
4.26640e+03 1.08662e+03
4.42967e+03 1.13577e+03
4.59920e+03 1.18687e+03
4.77523e+03 1.23999e+03
4.95801e+03 1.29521e+03
5.14780e+03 1.35262e+03
5.34484e+03 1.41230e+03
5.54942e+03 1.47433e+03
5.76182e+03 1.53881e+03
5.98232e+03 1.60583e+03
6.21124e+03 1.67549e+03
6.44889e+03 1.74789e+03
6.69559e+03 1.82313e+03
6.95169e+03 1.90133e+03
7.21753e+03 1.98259e+03
7.49349e+03 2.06704e+03
7.77993e+03 2.15479e+03
8.07726e+03 2.24598e+03
8.38587e+03 2.34074e+03
8.70620e+03 2.43919e+03
9.03868e+03 2.54149e+03
9.38377e+03 2.64777e+03
9.74193e+03 2.75820e+03
1.01137e+04 2.87292e+03
1.04995e+04 2.99211e+03
1.08999e+04 3.11593e+03
1.13154e+04 3.24456e+03
1.17467e+04 3.37818e+03
1.21942e+04 3.51699e+03
1.26587e+04 3.66117e+03
1.31407e+04 3.81094e+03
1.36409e+04 3.96650e+03
1.41600e+04 4.12808e+03
1.46987e+04 4.29591e+03
1.52576e+04 4.47021e+03
1.58377e+04 4.65124e+03
1.64396e+04 4.83925e+03
1.70642e+04 5.03451e+03
1.77122e+04 5.23729e+03
1.83847e+04 5.44788e+03
1.90825e+04 5.66656e+03
1.98066e+04 5.89365e+03
2.05579e+04 6.12947e+03
2.13374e+04 6.37434e+03
2.21462e+04 6.62861e+03
2.29854e+04 6.89263e+03
2.38562e+04 7.16677e+03
2.47596e+04 7.45141e+03
2.56970e+04 7.74694e+03
2.66695e+04 8.05379e+03
2.76785e+04 8.37237e+03
2.87254e+04 8.70313e+03
2.98115e+04 9.04653e+03
3.09384e+04 9.40304e+03
3.21075e+04 9.77315e+03
3.33204e+04 1.01574e+04
3.45788e+04 1.05563e+04
3.58843e+04 1.09703e+04
3.72386e+04 1.14002e+04
3.86437e+04 1.18464e+04
4.01014e+04 1.23096e+04
4.16136e+04 1.27904e+04
4.31824e+04 1.32895e+04
4.48098e+04 1.38076e+04
4.64981e+04 1.43453e+04
4.82496e+04 1.49035e+04
5.00665e+04 1.54828e+04
5.19513e+04 1.60841e+04
5.39066e+04 1.67083e+04
5.59348e+04 1.73560e+04
5.80389e+04 1.80284e+04
6.02215e+04 1.87261e+04
6.24855e+04 1.94503e+04
6.48341e+04 2.02019e+04
6.72704e+04 2.09820e+04
6.97975e+04 2.17915e+04
7.24189e+04 2.26317e+04
7.51381e+04 2.35036e+04
7.79587e+04 2.44084e+04
8.08845e+04 2.53474e+04
8.39194e+04 2.63218e+04
8.70673e+04 2.73330e+04
9.03326e+04 2.83823e+04
9.37195e+04 2.94712e+04
9.72326e+04 3.06012e+04
1.00877e+05 3.17738e+04
1.04656e+05 3.29905e+04
1.08577e+05 3.42530e+04
1.12643e+05 3.55631e+04
1.16861e+05 3.69224e+04
1.21235e+05 3.83330e+04
1.25773e+05 3.97965e+04
1.30479e+05 4.13151e+04
1.35360e+05 4.28908e+04
1.40423e+05 4.45258e+04
1.45674e+05 4.62221e+04
1.51121e+05 4.79821e+04
1.56770e+05 4.98083e+04
1.62629e+05 5.17029e+04
1.68705e+05 5.36687e+04
1.75008e+05 5.57083e+04
1.81545e+05 5.78243e+04
1.88324e+05 6.00197e+04
1.95356e+05 6.22974e+04
2.02648e+05 6.46605e+04
2.10212e+05 6.71121e+04
2.18056e+05 6.96555e+04
2.26191e+05 7.22943e+04
2.34629e+05 7.50318e+04
2.43380e+05 7.78718e+04
2.52455e+05 8.08180e+04
2.61867e+05 8.38746e+04
2.71629e+05 8.70454e+04
2.81753e+05 9.03349e+04
2.92252e+05 9.37473e+04
3.03141e+05 9.72874e+04
3.14433e+05 1.00960e+05
3.26144e+05 1.04769e+05
3.38290e+05 1.08721e+05
3.50886e+05 1.12821e+05
3.63949e+05 1.17073e+05
3.77496e+05 1.21485e+05
3.91545e+05 1.26061e+05
4.06114e+05 1.30808e+05
