,central_pressure,radius,mass
0,8.145237500000002e-22,458037684.3531196,5415.43360544266
1,1.0038326065959154e-21,448893217.90468323,5765.763213284582
2,1.2371399877107937e-21,439905514.92606217,6138.750870761245
3,1.5246718816827252e-21,431074488.9837419,6535.863676602313
4,1.8790309664918532e-21,422399722.51159143,6958.65337132269
5,2.3157489919329655e-21,413880496.18151724,7408.788472754932
6,2.8539675445853253e-21,405515934.23610234,7888.033935070431
7,3.5172770338756004e-21,397304950.06271905,8398.268256690673
8,4.334750672445471e-21,389246217.7834034,8941.49038770494
9,5.342218770740981e-21,381338232.77435166,9519.845358332674
10,6.583839198842937e-21,373579518.9837242,10135.59408700816
11,8.114032849727054e-21,365968352.34910446,10791.146170253853
12,9.999868936352551e-21,358502885.4663831,11489.075676133909
13,1.2324004671436952e-20,351181224.24098295,12232.123212412216
14,1.518830817766675e-20,344001445.34275573,13023.195943892491
15,1.8718323422453024e-20,336961486.83920527,13865.397186798435
16,2.3068772877729336e-20,330059299.2847853,14762.032072259275
17,2.843033908933924e-20,323292800.04193175,15716.6025152958
18,3.5038022395856804e-20,316659795.4589248,16732.85639664644
19,4.3181441120162536e-20,310158173.9719985,17814.767335666114
20,5.3217525696728666e-20,303785721.8252042,18966.57487261871
21,6.558616312505588e-20,297540288.4314892,20192.78473485776
22,8.082947745409478e-20,291419722.5199756,21498.154855726665
23,9.961559137168198e-20,285421732.7903922,22887.78421953246
24,1.2276791038226824e-19,279544097.56007254,24367.12886724088
25,1.5130121311424752e-19,273784658.8000218,25941.97332711973
26,1.8646612961451296e-19,268141293.63632634,27618.458203625247
27,2.298039571378837e-19,262611861.31893715,29403.095088914903
28,2.832142160370139e-19,257194195.0079493,31302.84806463217
29,3.4903790676386576e-19,251886207.0977104,33325.074883339665
30,4.301601171820385e-19,246685733.4936493,35477.65908469305
31,5.301364775237676e-19,241590735.34134537,37768.97019056941
32,6.533490055805746e-19,236599140.77594018,40207.87901118611
33,8.051981729063147e-19,231708950.6411407,42803.856185856086
34,9.923396103978729e-19,226918153.01180837,45566.912852163245
35,1.2229758281868043e-18,222224761.758185,48507.72071238145
36,1.5072157360820454e-18,217626804.12609887,51637.67932863733
37,1.8575177225386254e-18,213122411.47661036,54968.77355941488
38,2.2892357125425303e-18,208709633.06309506,58513.863694690954
39,2.821292138423239e-18,204386621.4426615,62286.59299438931
40,3.477007320267794e-18,200151609.71291822,66301.2696079505
41,4.285121608126833e-18,196002680.6178192,70573.33799704749
42,5.281055087057239e-18,191938109.65460137,75119.04980849964
43,6.508460058552383e-18,187956141.68013325,79955.65946039963
44,8.021134344458359e-18,184055051.32647002,85101.40291155904
45,9.885379274519234e-18,180233093.0646184,90575.79730083609
46,1.2182905709415938e-17,176488615.46532577,96399.47745597827
47,1.5014415471857338e-17,172819998.65095535,102594.13564081483
48,1.850401516177846e-17,169225582.31044576,109182.97592794537
49,2.2804655815546608e-17,165703782.1503923,116190.5192372818
50,2.8104836832373446e-17,162253065.0274687,123642.50424294583
51,3.463686800463991e-17,158871837.77479997,131566.41825592692
52,4.2687051781383095e-17,155558604.46968076,139991.18051036936
53,5.260823205904158e-17,152311856.69205892,148947.33511947535
54,6.483525951972581e-17,149130125.99448776,158467.11900320233
55,7.99040513711347e-17,146011956.64450508,168584.5350905235
56,9.84750808867882e-17,142956409.39002773,179335.49363394472
57,1.2136232630580532e-16,139960546.28172812,190757.7678410472
58,1.495689479381059e-16,137024532.02493748,202890.7368298838
59,1.8433125722180302e-16,134146472.01441252,215775.98346531816
60,2.2717290492028577e-16,131324948.40924564,229457.61837337795
61,2.799716635568907e-16,128558685.33542751,243981.1495690409
62,3.450417311972894e-16,125846367.33853215,259394.3238351588
63,4.252351639987696e-16,123186653.40836707,275747.0321260956
64,5.240668833697316e-16,120578269.81817712,293091.40214111464
65,6.458687368706377e-16,118019945.76852004,311481.2072358184
66,7.959793654287734e-16,115510406.9130022,330972.65501146554
67,9.80978198849239e-16,113048413.29750708,351623.55472736765
68,1.2089738357716396e-15,110632737.7500991,373493.3433903191
69,1.489959447921447e-15,108262141.80366933,396643.83526150987
70,1.836250786216113e-15,105935410.46680813,421137.32628477993
71,2.2630259867697202e-15,103651376.036546,447037.51758606895
72,2.7889908367844908e-15,101408831.30241585,474409.0689562924
73,3.437198659292014e-15,99206610.18990214,503316.7229282334
74,4.236060752734452e-15,97043533.77791482,533825.3580329055
75,5.2205916734976456e-15,94918450.63793942,565998.8333349343
76,6.4339439428010335e-15,92830206.05207804,599901.4069583637
77,7.929299444975007e-15,90777668.29198456,635592.4619215847
78,9.772200418132442e-15,88759725.85299905,673130.393981168
79,1.2043422205812416e-14,86775328.37575431,712567.8593386174
80,1.4842513683849987e-14,84823234.95991902,753954.662092058
81,1.8292160541291396e-14,82902413.04832843,797333.4458990375
82,2.254356266030977e-14,81017226.20607542,842736.9550434801
83,2.778306128858379e-14,79150515.38842346,890190.5224435212
84,3.4240306476678166e-14,77317268.10640664,939707.3500597498
85,4.219832276361105e-14,75511132.42329873,991288.5603084808
86,5.2005914295036226e-14,73731174.34413081,1044918.236937296
87,6.409295309705823e-14,71976443.49636553,1100563.5621620626
88,7.898922059896926e-14,70245954.6341069,1158171.5738369478
89,9.734762823900847e-14,68538899.74839604,1217667.5996526172
90,1.1997283492481882e-13,66854323.56794364,1278952.1314701647
91,1.4785651566732376e-13,65191524.21444075,1341898.503121702
92,1.82220827231274e-13,63549736.51860773,1406351.1295853641
93,2.245719759253597e-13,61928259.75259809,1472120.9322093932
94,2.767662354370255e-13,60326646.55142636,1538988.1074087762
95,3.410913083092902e-13,58743910.13208864,1606694.0994693849
96,4.2036659717697076e-13,57180017.0021081,1674948.7125846264
97,5.180667807046925e-13,55634465.93480973,1743421.33710284
98,6.384741106266646e-13,54106969.7155442,1811748.1936594122
99,7.86866105149633e-13,52597377.427452944,1879527.1969101478
100,9.69746865422076e-13,51105621.75586666,1946325.9921814604
101,1.195132153795222e-12,49632102.99865191,2011681.3333381368
102,1.4729007290098636e-12,48175995.24601073,2075103.8741887303
103,1.8152273375196179e-12,46738627.46979505,2136087.149255275
104,2.237116339193892e-12,45320121.75642213,2194110.5408945465
105,2.7570593565028957e-12,43921062.713416055,2248646.621060176
106,3.397845772303089e-12,42542159.629358575,2299174.565463921
107,4.187561600778272e-12,41184205.614432104,2345187.902202464
108,5.160820512588142e-12,39848631.09848181,2386204.2158392956
109,6.3602809707206475e-12,38535561.25053539,2421777.2301554247
110,7.83851597393066e-12,37247070.28165534,2451506.804325159
111,9.660317359628332e-12,35984215.44457185,2475049.9621890252
112,1.1905535665055163e-11,34748407.97374891,2492130.591543051
113,1.467258001939533e-11,33541178.469696395,2502545.424745819
114,1.8082731468980194e-11,32363882.57390603,2506173.0019608517
115,2.228545879095652e-11,31218519.225836914,2502978.3346599126
116,2.7464969790398163e-11,30106673.853294596,2493014.689087922
117,3.384828522774622e-11,29029096.91936608,2476423.1050003814
118,4.171518926117317e-11,27988662.536520604,2453430.2059548846
119,5.1410492537124166e-11,26986920.164072897,2424340.062300154
120,6.335914542690891e-11,26029763.20817652,2389450.9544376237
121,7.808486383065428e-11,25132523.14520248,2348946.9703649087
122,9.623308392764825e-11,24325301.78690038,2302954.241587955
123,1.1859925199216672e-10,23658920.29470463,2252140.5232750527
124,1.4616368923266204e-10,23199484.824676223,2199316.5857482874
125,1.8013455979902173e-10,22996523.55948214,2151300.668339751
126,2.2200082526882792e-10,23025794.83064485,2117357.4646750484
127,2.735975066363035e-10,23169525.047666237,2102012.389479987
128,3.371861142721299e-10,23297729.721927337,2100432.40300857
129,4.155537711426343e-10,23358384.06965272,2103885.3595873597
130,5.121353739125139e-10,23369732.86831903,2106896.855503633
131,6.311641463181087e-10,23362824.01274374,2108203.713142405
132,7.778571836467539e-10,23355204.74567929,2108407.598005242
133,9.586441208368428e-10,23351560.994964983,2108242.6760568926
134,1.1814489468447021e-09,23350638.347640052,2108077.7515561967
135,1.456037317353995e-09,23351008.258298315,2107999.4026590087
136,1.7944445887310107e-09,23351390.099891692,2107982.660062213
137,2.2115033341848968e-09,23351628.15609541,2107989.5024302397
