,central_pressure,radius,mass
0,1.3032379999999996e-52,1.145098015479367e+24,1.3538576403325567e+19
1,1.6061321705534638e-52,1.1222363640213145e+24,1.4414386502158172e+19
2,1.979423980337269e-52,1.0997665302747206e+24,1.5346872064256838e+19
3,2.439475010692359e-52,1.0776887562975884e+24,1.6339649638922244e+19
4,3.006449546386964e-52,1.056001624936172e+24,1.739661577127545e+19
5,3.705198387092743e-52,1.0347032218748073e+24,1.8521948017200144e+19
6,4.566348071336519e-52,1.0137915567189412e+24,1.9720060846973653e+19
7,5.627643254200958e-52,9.932638503970971e+23,2.0995641309640765e+19
8,6.935601075912752e-52,9.731167604237442e+23,2.2353711590544593e+19
9,8.547550033185564e-52,9.533467521023186e+23,2.379958696270213e+19
10,1.0534142718148693e-51,9.339497953340803e+23,2.533894726850307e+19
11,1.2982452559563282e-51,9.149216207274235e+23,2.6977846923684717e+19
12,1.5999790298164074e-51,8.962579214351458e+23,2.8722671061406618e+19
13,1.9718407474299113e-51,8.779536522663093e+23,3.0580297274302222e+19
14,2.430129308426679e-51,8.600041220144781e+23,3.255800071286449e+19
15,2.994931747592483e-51,8.424042443986908e+23,3.466351079254764e+19
16,3.691003660436692e-51,8.251487531071661e+23,3.690510668968771e+19
17,4.548854254294278e-51,8.082324699383464e+23,3.929155375292194e+19
18,5.606083583337086e-51,7.916500802423553e+23,4.18321702253822e+19
19,6.909030579226002e-51,7.753959781057713e+23,4.453691919198127e+19
20,8.514804111476583e-51,7.594648294210779e+23,4.741640786151315e+19
21,1.0493786100008934e-50,7.438511701062941e+23,5.048187552006257e+19
22,1.293271639265516e-50,7.285495269258536e+23,5.37453141219442e+19
23,1.5938494619469112e-50,7.135544410864352e+23,5.721942957574317e+19
24,1.964286566116291e-50,6.988603199287734e+23,6.091782929766534e+19
25,2.4208194098279586e-50,6.84461798675867e+23,6.485492558003391e+19
26,2.983458073832206e-50,6.703533731707497e+23,6.904612305526083e+19
27,3.6768633142061377e-50,6.56529783329696e+23,7.350769397156056e+19
28,4.531427456592221e-50,6.429855833660039e+23,7.825705448476623e+19
29,5.584606508221849e-50,6.297155330993182e+23,8.331264508288569e+19
30,6.882561874912612e-50,6.16714359888848e+23,8.86941227693459e+19
31,8.482183640380279e-50,6.039768674743563e+23,9.442237953529471e+19
32,1.0453584089289187e-49,5.9149786966459374e+23,1.0051966768970354e+20
33,1.288317076650103e-49,5.7927237885256324e+23,1.0700962382562243e+20
34,1.5877433766365958e-49,5.6729541011384666e+23,1.1391719907022527e+20
35,1.9567613250988863e-49,5.555619154842253e+23,1.2126917744949756e+20
36,2.411545177731272e-49,5.4406705212447776e+23,1.2909386670697067e+20
37,2.9720283560617987e-49,5.3280591185646587e+23,1.3742157034490223e+20
38,3.662777140068046e-49,5.2177391058805145e+23,1.462842908290683e+20
39,4.51406742147718e-49,5.109663837617681e+23,1.5571589090903402e+20
40,5.563211712428469e-49,5.003786897517007e+23,1.657526304998245e+20
41,6.856194573002929e-49,4.900063570393079e+23,1.764327371799245e+20
42,8.449688139291576e-49,4.7984489224204264e+23,1.8779695659436127e+20
43,1.0413536093683808e-48,4.698899452736714e+23,1.998883273710042e+20
44,1.2833814951133369e-48,4.601371372157062e+23,2.1275271031569783e+20
45,1.5816606839230768e-48,4.505821901427968e+23,2.264388588148591e+20
46,1.949264913506549e-48,4.4122103396148405e+23,2.409980528025458e+20
47,2.4023064754971725e-48,4.3204949263890495e+23,2.564847671295169e+20
48,2.9606424258845524e-48,4.2306345343153464e+23,2.729570392254041e+20
49,3.6487449304874554e-48,4.142590199637467e+23,2.904759123965318e+20
50,4.4967738931797495e-48,4.05632167687845e+23,3.091060147109993e+20
51,5.541898880742383e-48,3.971792366787673e+23,3.289158048743719e+20
52,6.829928285021291e-48,3.888961863744307e+23,3.499776925360367e+20
53,8.417317129446648e-48,3.8077930835379274e+23,3.723683510197207e+20
54,1.0373641523156128e-47,3.728250338058425e+23,3.9616810618711736e+20
55,1.2784648219381546e-47,3.650296881545609e+23,4.214614991977029e+20
56,1.5756012941886102e-47,3.573895716046606e+23,4.483389211357812e+20
57,1.941797220892884e-47,3.499012624511986e+23,4.768940501416012e+20
58,2.3931031670096933e-47,3.425612251189023e+23,5.0722613417801004e+20
59,2.9493001155488464e-47,3.353659967827776e+23,5.3943953233441856e+20
60,3.6347664787245707e-47,3.2831223839553274e+23,5.736433395697633e+20
61,4.47954661691025e-47,3.2139659701701276e+23,6.099517751722849e+20
62,5.520667699156628e-47,3.146157396648685e+23,6.484846990696185e+20
63,6.803762623980311e-47,3.079664492957185e+23,6.893666965949415e+20
64,8.385070133915701e-47,3.0144548685492348e+23,7.327276555227844e+20
65,1.0333899789930197e-46,2.9504968592432908e+23,7.787022822383177e+20
66,1.2735669846860368e-46,2.8877583653821383e+23,8.274310403080082e+20
67,1.569565118158782e-46,2.826208519180803e+23,8.790588676130604e+20
68,1.9343581372346223e-46,2.7658168167511097e+23,9.33734114195375e+20
69,2.3839351166743137e-46,2.7065521264127378e+23,9.916102130710134e+20
70,2.9380012579457797e-46,2.648384518326202e+23,1.0528437387131769e+21
71,3.6208415788315505e-46,2.591283604781674e+23,1.1175944420074188e+21
72,4.462385338855183e-46,2.5352204188108396e+23,1.1860235071556438e+21
73,5.49951785486722e-46,2.4801650343941906e+23,1.2582914453026172e+21
74,6.7776972043751184e-46,2.4260881217198847e+23,1.3345625185255096e+21
75,8.352946677596229e-46,2.3729606107450032e+23,1.4149979622704735e+21
76,1.0294310308481648e-45,2.320754903645645e+23,1.4997529139995038e+21
77,1.2686879111960005e-45,2.2694417267581778e+23,1.5889789625630128e+21
78,1.56355206690119e-45,2.2189931247665312e+23,1.682822801447223e+21
79,1.9269475529299858e-45,2.169381436443375e+23,1.781418455981845e+21
80,2.3748021894159964e-45,2.1205795303958637e+23,1.8848865210279595e+21
81,2.926745686606622e-45,2.0725592963968383e+23,1.9933328763734416e+21
82,3.606970025649561e-45,2.0252960371442232e+23,2.106843008875781e+21
83,4.445289806173405e-45,1.9787616889381475e+23,2.22547825933428e+21
84,5.478449036268504e-45,1.932930891681961e+23,2.3492717560457134e+21
85,6.751731642177766e-45,1.8877788318384187e+23,2.478224208174987e+21
86,8.320946287205793e-45,1.8432796629921523e+23,2.6122971962190956e+21
87,1.0254872495529312e-44,1.7994110108261875e+23,2.7514097584242987e+21
88,1.2638275295835078e-44,1.7561488947000323e+23,2.8954303461968084e+21
89,1.5575620518241348e-44,1.7134718711484034e+23,3.044169782488827e+21
90,1.9195653587971002e-44,1.6713582636808422e+23,3.1973800166195897e+21
91,2.3657042506771797e-44,1.6297918370294038e+23,3.3547455144007366e+21
92,2.915533235700382e-44,1.588743545289335e+23,3.515875663445118e+21
93,3.593151614805753e-44,1.5482057220016272e+23,3.680298394628327e+21
94,4.428259766992406e-44,1.50816233630266e+23,3.8474639803340177e+21
95,5.45746093294864e-44,1.4686041658174895e+23,4.016732454690782e+21
96,6.725865554831529e-44,1.4295001474078709e+23,4.187368381342823e+21
97,8.289068491275074e-44,1.390861024684053e+23,4.358551063928359e+21
98,1.0215585770026628e-43,1.3526740285371095e+23,4.529367314157835e+21
99,1.2589857682394122e-43,1.314934093340677e+23,4.6988163262555205e+21
100,1.5515949846753212e-43,1.2776408803921557e+23,4.865816354236489e+21
101,1.912211446072354e-43,1.24079392170331e+23,5.029206663302573e+21
102,2.356641166415781e-43,1.2043997212769402e+23,5.187765014141549e+21
103,2.904363740031388e-43,1.1684660959956748e+23,5.340223426517672e+21
104,3.5793861427102257e-43,1.133003098182189e+23,5.485279645379733e+21
105,4.411294970404631e-43,1.0980267389711738e+23,5.621618125003679e+21
106,5.4365532356849406e-43,1.0635544503891836e+23,5.747938071749808e+21
107,6.700098561245231e-43,1.0296057885182358e+23,5.862968634246039e+21
108,8.257312820141023e-43,9.96209830641745e+22,5.96550760707141e+21
109,1.017644955315303e-42,9.633886378227548e+22,6.054443309912207e+21
110,1.2541625558289052e-42,9.311772353877265e+22,6.128766100511672e+21
111,1.545650777540532e-42,8.996055815214029e+22,6.187622872230845e+21
112,1.904885706408825e-42,8.687103437658387e+22,6.230323807082445e+21
113,2.3476128031032518e-42,8.38528897807596e+22,6.256359780934e+21
114,2.89323703503683e-42,8.090998257074479e+22,6.26542932500295e+21
115,3.565673406553041e-42,7.80463465634814e+22,6.257444121143727e+21
116,4.394395166463704e-42,7.526591450233142e+22,6.23253571518594e+21
117,5.415725636439393e-42,7.257295883395501e+22,6.19105646599545e+21
