,central_pressure_1,central_pressure_2,central_density_1,central_density_2,radius_1,radius_2,mass_1,mass_2,central_density,mass_1__in_GeV,dimensionless_mass_1,central_density_1_in_GEV4,dimensionless_central_density_1
0,1e-06,500.67,1.2902873802781691,1730.01,0.009342047991354142,10.412239148183888,3.906796557638286e-12,1.9681820468704587,1731.3002873802782,4.356078161766689e+45,2.1542588809327983e-09,9.900627362601222e-06,1.2222996743952126e-11
1,1342.2818801879196,500.67,13243.722742689708,1730.01,2.3112700630301366,10.144996974000064,0.17598198192972508,1.3006310035699646,14973.732742689708,1.962199098516435e+56,97.0387738043476,0.10162167418913282,1.2545885702362075e-07
2,2684.563759375839,500.67,19516.260671564,1730.01,2.256086483532845,8.893463192290936,0.222502438828652,0.7865039283445633,21246.270671563998,2.48090219293947e+56,122.69076410919916,0.14975208420537153,1.8487911630292783e-07
3,4026.8456385637583,500.67,24641.622061441925,1730.01,2.19592315468154,7.173495617475905,0.2451828408997826,0.39740492590913984,26371.632061441924,2.733788676032576e+56,135.19703538901106,0.1890799843270525,2.334320794161142e-07
4,5369.127517751678,500.67,29173.43538454907,1730.01,2.142956359492544,5.441877277403733,0.2582738418494592,0.17711605416343656,30903.445384549068,2.8797533366214698e+56,142.41558507289545,0.22385347407418346,2.7636231367183143e-07
5,6711.409396939598,500.67,33325.641381278285,1730.01,2.0970672808080537,4.164125579924635,0.2664804574444213,0.08447510001433158,35055.65138127829,2.9712571005052975e+56,146.94082058670375,0.25571416258026763,3.156964970126761e-07
6,8053.691276127517,500.67,37208.32788773057,1730.01,2.0570297562936206,3.361748739587293,0.2718627811333964,0.04790242645750796,38938.33788773057,3.03127000963737e+56,149.90870448748174,0.2855067753375099,3.524775004166789e-07
7,9395.973155315436,500.67,40886.720494084766,1730.01,2.02173008458489,2.857115865793165,0.2754747907021975,0.03150317329387936,42616.73049408477,3.071543916329502e+56,151.90041395502254,0.31373180105310594,3.87323211176674e-07
8,10738.255034503356,500.67,44403.43931852173,1730.01,1.9902895435844759,2.5208516521242266,0.27791325684718476,0.022917580018506165,46133.44931852173,3.0987328138461103e+56,153.24501618121792,0.34071627222749584,4.206373731203652e-07
9,12080.536913691276,500.67,47788.12715485101,1730.01,1.9620309630527664,2.282962247936695,0.27954127431851494,0.017826370749833696,49518.137154851014,3.116885208651442e+56,154.1427263752821,0.36668764381372404,4.527007948317581e-07
10,13422.818792879196,500.67,51061.89139520701,1730.01,1.9364307673123373,2.1060717152448465,0.2805918835131413,0.014515047138957677,52791.90139520701,3.128599501171526e+56,154.72204606969734,0.39180787695882874,4.837134283442331e-07
11,14765.100672067114,500.67,54241.63208789134,1730.01,1.9130784409080432,1.969212640510635,0.28122110580963566,0.012208980622821617,55971.64208789134,3.135615329777438e+56,155.0690074996837,0.416206649037945,5.138353691826482e-07
