,central_pressure_1,central_pressure_2,central_density_1,central_density_2,radius_1,radius_2,mass_1,mass_2,central_density,mass_1__in_GeV,dimensionless_mass_1,central_density_1_in_GEV4,dimensionless_central_density_1
1,67213.42281879195,1750,1002942.1662035228,5971.676978603365,0.2530206121492119,10.6066450274268,0.01721818294603021,1.8736171815405263,1008913.8431821262,1.9198273984823686e+55,105.49257763653164,7.695771349542622,7.695771349542622e-08
2,134326.8456375839,1750,1457191.772349921,5971.676978603365,0.24009212467996302,11.086136509606836,0.020604614910386943,1.9387959574541793,1463163.4493285245,2.2974145625081443e+55,126.24061115612555,11.181317398279678,1.1181317398279678e-07
3,201440.26845637587,1750,1821434.2456968066,5971.676978603365,0.2313295930186226,11.42031934148158,0.022406386508598445,1.9667077139631715,1827405.92267541,2.498312095708727e+55,137.27972781572913,13.976221117683851,1.397622111768385e-07
4,268553.6912751678,1750,2139059.56661102,5971.676978603365,0.22464992635504544,11.668713460047535,0.023544154020325243,1.971821839762011,2145031.2435896234,2.6251731732662647e+55,144.25061597154559,16.413422311281746,1.6413422311281745e-07
5,335667.11409395974,1750,2426906.7171098045,5971.676978603365,0.2192426608256126,11.854728424149487,0.02432525700472315,1.9600399456870874,2432878.394088408,2.7122661560266314e+55,149.03628746092426,18.62212978066788,1.862212978066788e-07
6,402780.53691275173,1750,2693572.71626048,5971.676978603365,0.2146999734562345,11.990298964021038,0.02488874675046443,1.9345204726236844,2699544.3932390837,2.775095262676784e+55,152.48868345046196,20.668310134146488,2.066831013414649e-07
7,469893.95973154367,1750,2944200.549422198,5971.676978603365,0.21078573144445864,12.082282529400993,0.02530851461490375,1.8972171977288872,2950172.2264008014,2.821899379561768e+55,155.06052242833132,22.591426504001557,2.2591426504001556e-07
8,537007.3825503356,1750,3182140.5073280376,5971.676978603365,0.2073495197906326,12.134792612547201,0.025628040311479094,1.8494505880001253,3188112.184306641,2.8575264947299193e+55,157.01819644413757,24.417186326120305,2.441718632612031e-07
9,604120.8053691275,1750,3409680.095713795,5971.676978603365,0.2042898917242269,12.150296419987923,0.02587478324681362,1.7921884057445838,3415651.7726923986,2.8850383320197187e+55,158.52994413224332,26.1631420792963,2.61631420792963e-07
10,671234.2281879195,1750,3628550.46341465,5971.676978603365,0.20153464257790604,12.13012738754001,0.026067040754335195,1.7261796289797433,3634522.1403932534,2.9064750441083744e+55,159.70786982289246,27.842577207038545,2.784257720703855e-07
11,738347.6510067114,1750,3839983.656976679,5971.676978603365,0.1990308028707563,12.0747809693866,0.026217510607458774,1.6520428692380646,3845955.3339552823,2.923252432731653e+55,160.62977039232834,29.46494544340081,2.9464945443400813e-07
12,805461.0738255035,1750,4045018.6531257094,5971.676978603365,0.19673794038708714,11.984061960368402,0.02633529206943304,1.5703212577540233,4050990.330104313,2.936385065741784e+55,161.35139531990697,31.038219059954585,3.1038219059954586e-07
13,872574.4966442954,1750,4244394.393716261,5971.676978603365,0.19462487439849352,11.857161167666819,0.026427093068372286,1.4815227090343432,4250366.070694864,2.94662087712351e+55,161.91384282311128,32.56806810203709,3.256806810203709e-07
14,939687.9194630873,1750,4438792.375725411,5971.676978603365,0.19266671460668752,11.692674284830096,0.026497961148641096,1.3861520411788186,4444764.052704014,2.9545226680734825e+55,162.34803825959509,34.05972182920856,3.4059721829208564e-07
